Ejecución,Insertion Sort,Selection Sort,Bubble Sort,Merge Sort,Quicksort
1,3.14e-07,2.09e-07,2.06e-07,6.16e-07,2.21e-07
2,1.07e-07,1.57e-07,1.49e-07,4.11e-07,1.95e-07
3,1.13e-07,1.07e-07,1.46e-07,2.72e-07,1.91e-07
4,9.6e-08,1.49e-07,1.06e-07,1.92e-07,1.32e-07
5,8.3e-08,1.43e-07,1.55e-07,3.12e-07,1.67e-07
6,9.5e-08,1.38e-07,1.24e-07,3e-07,2.51e-07
7,8.4e-08,7.2e-08,1.12e-07,2.07e-07,1.35e-07
8,9.1e-08,1.08e-07,1.26e-07,2.35e-07,1.43e-07
9,6.9e-08,1.24e-07,1.17e-07,1.83e-07,1.08e-07
10,1.17e-07,1.46e-07,1.61e-07,2.3e-07,1.46e-07
11,8.5e-08,1.08e-07,1.42e-07,2.36e-07,1.38e-07
12,1.44e-07,1.09e-07,1.16e-07,2.19e-07,1.37e-07
13,8.4e-08,1.04e-07,1.51e-07,2.62e-07,1.05e-07
14,9.9e-08,1.3e-07,1.38e-07,2.04e-07,1.38e-07
15,8.3e-08,8.4e-08,1.09e-07,1.81e-07,9.5e-08
16,9.9e-08,1.14e-07,1.36e-07,2.98e-07,1.39e-07
17,9.8e-08,1.24e-07,9.2e-08,1.9e-07,1.35e-07
18,6.7e-08,9.4e-08,8.9e-08,1.77e-07,1.27e-07
19,1.09e-07,1.13e-07,1.55e-07,1.84e-07,9e-08
20,1.04e-07,1.24e-07,1.32e-07,2.1e-07,1.48e-07
21,6.5e-08,9.1e-08,8.6e-08,2.75e-07,1.65e-07
22,7e-08,6.7e-08,7.6e-08,2.31e-07,8.7e-08
23,9.1e-08,1.15e-07,1.03e-07,2.14e-07,1.31e-07
24,9.2e-08,1.39e-07,9.5e-08,2.01e-07,7.6e-08
25,1.24e-07,1.26e-07,9.7e-08,1.96e-07,1.32e-07
26,8.7e-08,6.8e-08,6.4e-08,1.63e-07,1.28e-07
27,8.3e-08,1.17e-07,1.2e-07,2.67e-07,1.13e-07
28,7.9e-08,8.7e-08,1.1e-07,2.4e-07,1.26e-07
29,1e-07,8.9e-08,1.06e-07,2.12e-07,1.08e-07
30,8e-08,1.15e-07,1.04e-07,2.59e-07,1.37e-07
